Unidades de saúde;Data;Quantidade de leitos Enfermaria Ped COVID;Disponíveis/Vagos Enfermaria Ped COVID;Ocupados Enfermaria Ped COVID;Bloqueados Enfermaria Ped COVID;Ocupação(%) de leitos Enfermaria Ped COVID;Quantidade de leitos Enfermaria Ped Não COVID;Disponíveis/Vagos Enfermaria Ped Não COVID;Ocupados Enfermaria Ped Não COVID;Bloqueados Enfermaria Ped Não COVID;Ocupação(%) de leitos Enfermaria Ped Não COVID
FORMOSA/H. E. DR CESAR S. FAYAD;09/12/2022;;;;;;1,0;1,0;0,0;0,0;0,0
FORMOSA/H. E. DR CESAR S. FAYAD;10/12/2022;;;;;;1,0;1,0;0,0;0,0;0,0
FORMOSA/H. E. DR CESAR S. FAYAD;11/12/2022;;;;;;1,0;1,0;0,0;0,0;0,0
FORMOSA/H. E. DR CESAR S. FAYAD;12/12/2022;;;;;;1,0;1,0;0,0;0,0;0,0
GOIÂNIA/CRER;21/12/2021;;;;;;1,0;1,0;0,0;0,0;0,0
GOIÂNIA/CRER;22/12/2021;;;;;;1,0;1,0;0,0;0,0;0,0
GOIÂNIA/HDT;01/01/2020;;;;;;11,0;4,0;7,0;0,0;63,64
GOIÂNIA/HDT;02/01/2020;;;;;;11,0;0,0;11,0;0,0;100,0
GOIÂNIA/HDT;03/01/2020;;;;;;11,0;1,0;10,0;0,0;90,91
GOIÂNIA/HDT;04/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;05/01/2020;;;;;;11,0;4,0;7,0;0,0;63,64
GOIÂNIA/HDT;06/01/2020;;;;;;11,0;7,0;4,0;0,0;36,36
GOIÂNIA/HDT;07/01/2020;;;;;;11,0;3,0;8,0;0,0;72,73
GOIÂNIA/HDT;08/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;09/01/2020;;;;;;11,0;5,0;6,0;0,0;54,55
GOIÂNIA/HDT;10/01/2020;;;;;;11,0;6,0;5,0;0,0;45,45
GOIÂNIA/HDT;11/01/2020;;;;;;11,0;4,0;7,0;0,0;63,64
GOIÂNIA/HDT;12/01/2020;;;;;;11,0;0,0;11,0;0,0;100,0
GOIÂNIA/HDT;13/01/2020;;;;;;11,0;1,0;10,0;0,0;90,91
GOIÂNIA/HDT;14/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;15/01/2020;;;;;;11,0;3,0;8,0;0,0;72,73
GOIÂNIA/HDT;16/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;17/01/2020;;;;;;11,0;0,0;11,0;0,0;100,0
GOIÂNIA/HDT;18/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;19/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;20/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;21/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;22/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;23/01/2020;;;;;;11,0;1,0;10,0;0,0;90,91
GOIÂNIA/HDT;24/01/2020;;;;;;11,0;1,0;10,0;0,0;90,91
GOIÂNIA/HDT;25/01/2020;;;;;;11,0;1,0;10,0;0,0;90,91
GOIÂNIA/HDT;26/01/2020;;;;;;11,0;1,0;10,0;0,0;90,91
GOIÂNIA/HDT;27/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;28/01/2020;;;;;;11,0;0,0;11,0;0,0;100,0
GOIÂNIA/HDT;29/01/2020;;;;;;11,0;0,0;11,0;0,0;100,0
GOIÂNIA/HDT;30/01/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;31/01/2020;;;;;;11,0;4,0;7,0;0,0;63,64
GOIÂNIA/HDT;01/02/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;02/02/2020;;;;;;11,0;2,0;9,0;0,0;81,82
GOIÂNIA/HDT;03/02/2020;;;;;;11,0;3,0;8,0;0,0;72,73
GOIÂNIA/HDT;04/02/2020;;;;;;11,0;2,0;9,0;0,0;81,82
