Unidades de saúde;Data;Quantidade de leitos UTI Adulto COVID;Disponíveis/Vagos UTI Adulto COVID;Ocupados UTI Adulto COVID;Bloqueados UTI Adulto COVID;Ocupação(%) de leitos UTI Adulto COVID;Quantidade de leitos UTI Adulto Não COVID;Disponíveis/Vagos UTI Adulto Não COVID;Ocupados UTI Adulto Não COVID;Bloqueados UTI Adulto Não COVID;Ocupação(%) de leitos UTI Adulto Não COVID
AGUAS LINDAS/HCAMP;26/06/2020;40;0;12;28;100,0;;;;;
AGUAS LINDAS/HCAMP;27/06/2020;40;28;12;0;30,0;;;;;
AGUAS LINDAS/HCAMP;28/06/2020;40;28;12;0;30,0;;;;;
AGUAS LINDAS/HCAMP;29/06/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;30/06/2020;40;2;9;29;95,0;;;;;
AGUAS LINDAS/HCAMP;01/07/2020;40;0;10;30;100,0;;;;;
AGUAS LINDAS/HCAMP;02/07/2020;40;1;9;30;97,5;;;;;
AGUAS LINDAS/HCAMP;03/07/2020;40;1;10;29;97,5;;;;;
AGUAS LINDAS/HCAMP;04/07/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;05/07/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;06/07/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;07/07/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;08/07/2020;40;2;9;29;95,0;;;;;
AGUAS LINDAS/HCAMP;09/07/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;10/07/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;11/07/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;12/07/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;13/07/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;14/07/2020;40;0;11;29;100,0;;;;;
AGUAS LINDAS/HCAMP;15/07/2020;40;0;12;28;100,0;;;;;
AGUAS LINDAS/HCAMP;16/07/2020;40;0;12;28;100,0;;;;;
AGUAS LINDAS/HCAMP;17/07/2020;40;0;14;26;100,0;;;;;
AGUAS LINDAS/HCAMP;18/07/2020;40;0;14;26;100,0;;;;;
AGUAS LINDAS/HCAMP;19/07/2020;40;0;14;26;100,0;;;;;
AGUAS LINDAS/HCAMP;20/07/2020;40;1;13;26;97,5;;;;;
AGUAS LINDAS/HCAMP;21/07/2020;40;2;12;26;95,0;;;;;
AGUAS LINDAS/HCAMP;22/07/2020;40;1;13;26;97,5;;;;;
AGUAS LINDAS/HCAMP;23/07/2020;40;1;13;26;97,5;;;;;
AGUAS LINDAS/HCAMP;24/07/2020;40;5;9;26;87,5;;;;;
AGUAS LINDAS/HCAMP;25/07/2020;40;5;9;26;87,5;;;;;
AGUAS LINDAS/HCAMP;26/07/2020;40;4;10;26;90,0;;;;;
AGUAS LINDAS/HCAMP;27/07/2020;40;1;13;26;97,5;;;;;
AGUAS LINDAS/HCAMP;28/07/2020;40;0;15;25;100,0;;;;;
AGUAS LINDAS/HCAMP;29/07/2020;40;1;14;25;97,5;;;;;
AGUAS LINDAS/HCAMP;30/07/2020;40;0;15;25;100,0;;;;;
AGUAS LINDAS/HCAMP;31/07/2020;40;1;14;25;97,5;;;;;
AGUAS LINDAS/HCAMP;01/08/2020;40;1;14;25;97,5;;;;;
AGUAS LINDAS/HCAMP;02/08/2020;40;0;15;25;100,0;;;;;
AGUAS LINDAS/HCAMP;03/08/2020;40;1;14;25;97,5;;;;;
AGUAS LINDAS/HCAMP;04/08/2020;40;1;14;25;97,5;;;;;
AGUAS LINDAS/HCAMP;05/08/2020;40;2;13;25;95,0;;;;;
