Unidades de saúde;Data;Quantidade de leitos UTI Neonatal;Disponíveis/Vagos UTI Neonatal;Ocupados UTI Neonatal;Bloqueados UTI Neonatal;Ocupação(%) de leitos UTI Neonatal
CATALÃO/SÃO NICOLAU;12/01/2022;2;2;0;0;0,0
CATALÃO/SÃO NICOLAU;13/01/2022;2;2;0;0;0,0
CATALÃO/SÃO NICOLAU;14/01/2022;2;2;0;0;0,0
CATALÃO/SÃO NICOLAU;15/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;16/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;17/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;18/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;19/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;20/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;21/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;22/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;23/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;24/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;25/01/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;26/01/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;27/01/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;28/01/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;29/01/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;30/01/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;31/01/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;01/02/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;02/02/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;03/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;04/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;05/02/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;06/02/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;07/02/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;08/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;09/02/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;10/02/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;11/02/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;12/02/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;13/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;14/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;15/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;16/02/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;17/02/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;18/02/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;19/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;20/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;21/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;22/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;23/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;24/02/2022;3;2;1;0;33,33
CATALÃO/SÃO NICOLAU;25/02/2022;3;1;2;0;66,67
CATALÃO/SÃO NICOLAU;26/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;27/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;28/02/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;01/03/2022;3;0;3;0;100,0
CATALÃO/SÃO NICOLAU;02/03/2022;5;2;3;0;60,0
CATALÃO/SÃO NICOLAU;03/03/2022;5;2;3;0;60,0
CATALÃO/SÃO NICOLAU;04/03/2022;5;3;2;0;40,0
CATALÃO/SÃO NICOLAU;05/03/2022;5;2;3;0;60,0
CATALÃO/SÃO NICOLAU;06/03/2022;5;2;3;0;60,0
CATALÃO/SÃO NICOLAU;07/03/2022;5;3;2;0;40,0
CATALÃO/SÃO NICOLAU;08/03/2022;5;3;2;0;40,0
CATALÃO/SÃO NICOLAU;09/03/2022;5;2;3;0;60,0
CATALÃO/SÃO NICOLAU;10/03/2022;5;2;3;0;60,0
CATALÃO/SÃO NICOLAU;11/03/2022;5;2;3;0;60,0
CATALÃO/SÃO NICOLAU;12/03/2022;5;1;4;0;80,0
CATALÃO/SÃO NICOLAU;13/03/2022;5;2;3;0;60,0
CATALÃO/SÃO NICOLAU;14/03/2022;5;1;4;0;80,0
CATALÃO/SÃO NICOLAU;15/03/2022;5;1;4;0;80,0
CATALÃO/SÃO NICOLAU;16/03/2022;5;2;3;0;60,0
CATALÃO/SÃO NICOLAU;17/03/2022;5;2;3;0;60,0
CATALÃO/SÃO NICOLAU;18/03/2022;5;1;4;0;80,0
CATALÃO/SÃO NICOLAU;19/03/2022;5;0;5;0;100,0
CATALÃO/SÃO NICOLAU;20/03/2022;5;0;5;0;100,0
CATALÃO/SÃO NICOLAU;21/03/2022;5;0;5;0;100,0
CATALÃO/SÃO NICOLAU;22/03/2022;5;0;5;0;100,0
CATALÃO/SÃO NICOLAU;23/03/2022;5;0;5;0;100,0
CATALÃO/SÃO NICOLAU;24/03/2022;5;1;4;0;80,0
CATALÃO/SÃO NICOLAU;25/03/2022;5;1;4;0;80,0
CATALÃO/SÃO NICOLAU;26/03/2022;5;1;4;0;80,0
CATALÃO/SÃO NICOLAU;27/03/2022;5;1;4;0;80,0
CATALÃO/SÃO NICOLAU;28/03/2022;5;1;4;0;80,0
