Unidades de saúde;Data;Quantidade de leitos UTI Pediátrica COVID;Disponíveis/Vagos UTI Pediátrica COVID;Ocupados UTI Pediátrica COVID;Bloqueados UTI Pediátrica COVID;Ocupação(%) de leitos UTI Pediátrica COVID;Quantidade de leitos UTI Pediátrica Não COVID;Disponíveis/Vagos UTI Pediátrica Não COVID;Ocupados UTI Pediátrica Não COVID;Bloqueados UTI Pediátrica Não COVID;Ocupação(%) de leitos UTI Pediátrica Não COVID
GOIÂNIA/HDT;01/01/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;02/01/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;03/01/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;04/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;05/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;06/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;07/01/2020;;;;;;4;3;1;0;25,0
GOIÂNIA/HDT;08/01/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;09/01/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;10/01/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;11/01/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;12/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;13/01/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;14/01/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;15/01/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;16/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;17/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;18/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;19/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;20/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;21/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;22/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;23/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;24/01/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;25/01/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;26/01/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;27/01/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;28/01/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;29/01/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;30/01/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;31/01/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;01/02/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;02/02/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;03/02/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;04/02/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;05/02/2020;;;;;;4;4;0;0;0,0
GOIÂNIA/HDT;06/02/2020;;;;;;4;4;0;0;0,0
GOIÂNIA/HDT;07/02/2020;;;;;;4;4;0;0;0,0
GOIÂNIA/HDT;08/02/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;09/02/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;10/02/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;11/02/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;12/02/2020;;;;;;4;3;1;0;25,0
GOIÂNIA/HDT;13/02/2020;;;;;;4;3;1;0;25,0
GOIÂNIA/HDT;14/02/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;15/02/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;16/02/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;17/02/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;18/02/2020;;;;;;4;3;1;0;25,0
GOIÂNIA/HDT;19/02/2020;;;;;;4;3;1;0;25,0
GOIÂNIA/HDT;20/02/2020;;;;;;4;3;1;0;25,0
GOIÂNIA/HDT;21/02/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;22/02/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;23/02/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;24/02/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;25/02/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;26/02/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;27/02/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;28/02/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;29/02/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;01/03/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;02/03/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;03/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;04/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;05/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;06/03/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;07/03/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;08/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;09/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;10/03/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;11/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;12/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;13/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;14/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;15/03/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;16/03/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;17/03/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;18/03/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;19/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;20/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;21/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;22/03/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;23/03/2020;;;;;;4;3;1;0;25,0
GOIÂNIA/HDT;24/03/2020;;;;;;4;3;1;0;25,0
GOIÂNIA/HDT;25/03/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;26/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;27/03/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;28/03/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;29/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;30/03/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;31/03/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;01/04/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;02/04/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;03/04/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;04/04/2020;;;;;;4;2;2;0;50,0
GOIÂNIA/HDT;05/04/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;06/04/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;07/04/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;08/04/2020;;;;;;4;1;3;0;75,0
GOIÂNIA/HDT;09/04/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;10/04/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;11/04/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;12/04/2020;;;;;;4;0;4;0;100,0
GOIÂNIA/HDT;13/04/2020;;;;;;4;1;3;0;75,0
