Data,Quantidade de leitos UTI Adulto COVID
26/06/2020,40
27/06/2020,40
28/06/2020,40
29/06/2020,40
30/06/2020,40
01/07/2020,40
02/07/2020,40
03/07/2020,40
04/07/2020,40
05/07/2020,40
06/07/2020,40
07/07/2020,40
08/07/2020,40
09/07/2020,40
10/07/2020,40
11/07/2020,40
12/07/2020,40
13/07/2020,40
14/07/2020,40
15/07/2020,40
16/07/2020,40
17/07/2020,40
18/07/2020,40
19/07/2020,40
20/07/2020,40
21/07/2020,40
22/07/2020,40
23/07/2020,40
24/07/2020,40
25/07/2020,40
26/07/2020,40
27/07/2020,40
28/07/2020,40
29/07/2020,40
30/07/2020,40
31/07/2020,40
01/08/2020,40
02/08/2020,40
03/08/2020,40
04/08/2020,40
05/08/2020,40
06/08/2020,40
07/08/2020,40
08/08/2020,40
09/08/2020,40
10/08/2020,40
11/08/2020,40
12/08/2020,40
13/08/2020,66
14/08/2020,87
15/08/2020,89
16/08/2020,89
17/08/2020,42
18/08/2020,42
19/08/2020,42
20/08/2020,42
21/08/2020,42
22/08/2020,42
23/08/2020,42
24/08/2020,42
25/08/2020,42
26/08/2020,42
27/08/2020,41
28/08/2020,41
29/08/2020,41
30/08/2020,41
31/08/2020,41
01/09/2020,41
02/09/2020,41
03/09/2020,41
04/09/2020,41
05/09/2020,41
06/09/2020,41
07/09/2020,41
08/09/2020,41
09/09/2020,41
10/09/2020,41
11/09/2020,41
12/09/2020,41
13/09/2020,41
14/09/2020,41
15/09/2020,41
16/09/2020,41
17/09/2020,41
18/09/2020,40
19/09/2020,40
20/09/2020,40
21/09/2020,40
22/09/2020,40
23/09/2020,40
24/09/2020,40
25/09/2020,40
26/09/2020,40
27/09/2020,40
28/09/2020,40
29/09/2020,40
30/09/2020,40
01/10/2020,40
02/10/2020,40
03/10/2020,40
04/10/2020,40
05/10/2020,14
06/10/2020,13
07/10/2020,8
08/10/2020,3
09/10/2020,2
10/10/2020,2
11/10/2020,2
12/10/2020,2
13/10/2020,2
14/10/2020,2
15/10/2020,2
16/10/2020,1
17/10/2020,1
01/01/2020,
02/01/2020,
03/01/2020,
04/01/2020,
05/01/2020,
06/01/2020,
07/01/2020,
08/01/2020,
09/01/2020,
10/01/2020,
11/01/2020,
12/01/2020,
13/01/2020,
14/01/2020,
15/01/2020,
16/01/2020,
17/01/2020,
18/01/2020,
19/01/2020,
20/01/2020,
21/01/2020,
22/01/2020,
23/01/2020,
24/01/2020,
25/01/2020,
26/01/2020,
27/01/2020,
28/01/2020,
29/01/2020,
30/01/2020,
31/01/2020,
01/02/2020,
02/02/2020,
03/02/2020,
04/02/2020,
05/02/2020,
06/02/2020,
07/02/2020,
08/02/2020,
09/02/2020,
10/02/2020,
11/02/2020,
12/02/2020,
13/02/2020,
14/02/2020,
15/02/2020,
16/02/2020,
17/02/2020,
18/02/2020,
19/02/2020,
20/02/2020,
21/02/2020,
22/02/2020,
23/02/2020,
24/02/2020,
25/02/2020,
26/02/2020,
